date,price,dix,gex,NEGATIVE_GAMMA_REGIME,DIX_10D_MA,DARK_POOL_ACCUMULATION,DIP_BUY_SAFE,NET_LIQUIDITY_B,RISK_ON_LIQUIDITY,VPIN_PROXY,HIGH_TOXICITY_FLAG,TOTAL_CLUSTER_BUYS,EUREKA_AVOID_CRASH_FLAG,EUREKA_BUY_THE_DIP_FLAG
2025-09-18,6631.96,0.4879370704115464,9229137608.56,False,0.4822734757398926,True,True,6392.88,False,,,0,False,False
2025-09-19,6664.36,0.4620207333296275,7221005006.35,False,0.4784505758413647,True,True,6427.33,True,,,0,False,False
2025-09-22,6693.75,0.4606007566505989,7804100698.22,False,0.4757963708231477,True,True,6449.1,True,,,0,False,False
2025-09-23,6656.92,0.4513489778399516,6945220590.68,False,0.4706271523077789,True,True,6448.46,True,,,0,False,False
2025-09-24,6637.97,0.4386985159041842,6729719258.57,False,0.4675321034208363,True,True,6432.62,True,,,0,False,False
2025-09-25,6604.72,0.452690610924957,5745673608.81,False,0.4650292851647762,True,True,6401.93,True,,,0,False,False
2025-09-26,6643.7,0.4475029319686559,6507002455.37,False,0.4587387538818118,True,True,6379.410000000001,True,,,0,False,False
2025-09-29,6661.21,0.4120423596295545,7387805164.56,False,0.4522522123913261,True,True,6401.410000000001,True,,,0,False,False
2025-09-30,6688.46,0.4057227741336832,7869595104.33,False,0.4474305830727121,False,True,6409.08,True,,,0,False,False
2025-10-01,6711.2,0.4325926948960469,8331463843.65,False,0.4451157425688806,False,True,6410.34,True,,,0,False,False
2025-10-02,6715.35,0.4533059440730929,8813095584.05,False,0.4416526299350353,False,True,6401.6900000000005,False,,,0,False,False
2025-10-03,6715.79,0.4285403022699323,7145644577.07,False,0.4383045868290657,False,True,6350.99,False,,,0,False,False
2025-10-06,6740.28,0.4234703824116462,8076661222.41,False,0.4345915494051704,False,True,6327.34,False,,,0,False,False
2025-10-07,6714.59,0.4233981334278057,7666628328.25,False,0.4317964649639559,False,True,6354.69,False,,,0,False,False
2025-10-08,6753.72,0.45686911574134,8943683366.5,False,0.4336135249476714,False,True,6365.969999999999,True,,,0,False,False
2025-10-09,6735.11,0.4779898205599923,9281334761.45,False,0.4361434459111749,False,True,6330.69,False,,,0,False,False
2025-10-10,6552.51,0.4669604262057988,4326241481.91,False,0.4380891953348893,False,True,6308.88,False,,,0,False,False
2025-10-13,6654.72,0.445884630612281,6115597746.47,False,0.4414734224331619,False,True,6315.45,False,,,0,False,False
2025-10-14,6644.31,0.4598371070749149,5901838501.65,False,0.446884855727285,False,True,6287.17,False,,,0,False,False
2025-10-15,6671.06,0.4569235538371681,6761378176.96,False,0.4493179416213972,False,True,6287.2,False,,,0,False,False
